Unnamed: 0,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,review_year,review_month,availability_category
14491,735207676567232289,2-mrt rame9 400m-Infinity pool gym shopping mall,416454376,Iwo,Huai Khwang,13.75475,100.56647,Entire home/apt,1375,15,2,2022-11-05,0.98,23,364,2,2022.0,11,Very High (271-365 days)
14492,735210122363328134,Lovely condo!Free pool&WIFI-Asok/SukhumvitBTS! 2PP,480415786,Aaron,Khlong Toei,13.7348564,100.5579603,Entire home/apt,1863,1,8,2022-12-27,4.0,9,362,8,2022.0,12,Very High (271-365 days)
14493,735210994355289392,16-Mrt rame9 400米/附近火车夜市/大型商场/按摩/易初莲花超市/无边游泳池,416454376,Iwo,Huai Khwang,13.75463,100.5852,Entire home/apt,1375,15,2,2022-11-16,0.98,23,364,2,2022.0,11,Very High (271-365 days)
14495,735220343662424750,4-Ideo Rama 9 - Asoke mrt rame9 400m,416454376,Iwo,Huai Khwang,13.75463,100.56833,Entire home/apt,1375,15,3,2022-11-02,1.27,23,364,3,2022.0,11,Very High (271-365 days)
14496,735229482125591556,5-mrt rame9 400m-Infinity pool gym shopping mall,416454376,Iwo,Huai Khwang,13.75586,100.56838,Entire home/apt,1375,15,1,2022-11-02,0.53,23,364,1,2022.0,11,Very High (271-365 days)
14498,735236097943535169,New! Gateway/ Bangkok University 1BR 2PPL near BTS,314945555,Nana,Khlong Toei,13.7166686,100.5849674,Entire home/apt,2099,1,2,2022-12-22,0.87,49,362,2,2022.0,12,Very High (271-365 days)
14499,735248979481365445,12-曼谷市中心豪华温泉酒店公寓 bts thonglo 本地小吃市场免费泳池 健身房,402093105,Hi Gravity,Khlong Toei,13.71926,100.57523,Entire home/apt,1581,7,7,2022-12-12,2.88,45,241,7,2022.0,12,High (181-270 days)
14500,735251817177288443,13-Bts thonglo 700m free swimming pool gym,402093105,Hi Gravity,Khlong Toei,13.71874,100.57591,Entire home/apt,1581,7,2,2022-11-01,0.82,45,241,2,2022.0,11,High (181-270 days)
14501,735254049415872118,15-曼谷市中心豪华温泉酒店公寓 bts thonglo 本地小吃市场免费泳池 健身房,402093105,Hi Gravity,Khlong Toei,13.72007,100.5755,Entire home/apt,1581,3,2,2022-11-01,0.82,45,241,2,2022.0,11,High (181-270 days)
14502,735257626974718148,16-BTS Thong Lo free swimming pool and gym,402093105,Hi Gravity,Khlong Toei,13.72067,100.57613,Entire home/apt,1581,7,9,2022-12-14,3.7,45,241,9,2022.0,12,High (181-270 days)
